timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,val_loss
2026-02-20T13:27:36.761021,2350,5.017161,150.98,2.000000e-04,25671,57753600,0.0578,0.6249,
2026-02-20T13:28:21.178396,2400,4.963596,143.11,2.000000e-04,25710,58982400,0.0590,0.6373,
2026-02-20T13:29:05.710782,2450,4.917679,136.69,2.000000e-04,25745,60211200,0.0602,0.6496,
2026-02-20T13:29:50.307896,2500,4.912815,136.02,2.000000e-04,25779,61440000,0.0614,0.6620,
2026-02-20T13:29:51.474390,2500,4.912815,136.02,2.000000e-04,25767,61440000,0.0614,0.6624,4.882514
2026-02-20T13:30:39.527921,2550,4.901081,134.44,2.000000e-04,25763,62668800,0.0627,0.6757,
2026-02-20T13:31:23.960654,2600,4.886534,132.49,2.000000e-04,25797,63897600,0.0639,0.6880,
2026-02-20T13:32:08.466767,2650,4.888548,132.76,2.000000e-04,25829,65126400,0.0651,0.7004,
2026-02-20T13:32:53.557646,2700,4.836769,126.06,2.000000e-04,25854,66355200,0.0664,0.7129,
2026-02-20T13:33:38.019553,2750,4.762569,117.05,2.000000e-04,25884,67584000,0.0676,0.7253,
2026-02-20T13:34:22.677424,2800,4.755959,116.28,2.000000e-04,25912,68812800,0.0688,0.7377,
2026-02-20T13:35:07.006637,2850,4.780365,119.15,2.000000e-04,25941,70041600,0.0700,0.7500,
2026-02-20T13:35:52.346271,2900,4.737598,114.16,2.000000e-04,25960,71270400,0.0713,0.7626,
2026-02-20T13:36:36.868905,2950,4.707812,110.81,2.000000e-04,25987,72499200,0.0725,0.7750,
2026-02-20T13:37:21.622258,3000,4.724862,112.71,2.000000e-04,26010,73728000,0.0737,0.7874,
2026-02-20T13:37:22.775086,3000,4.724862,112.71,2.000000e-04,25999,73728000,0.0737,0.7877,4.661987
2026-02-20T13:38:45.730827,3050,4.685419,108.36,2.000000e-04,25681,74956800,0.0750,0.8108,
