timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,elapsed_hours
2026-02-20T01:17:54.125492,2900,1.887290,6.60,4.973971e-05,26528,71270400,0.7463
2026-02-20T01:18:39.859182,2950,1.862293,6.44,4.972877e-05,26534,72499200,0.7590
2026-02-20T01:19:25.584039,3000,1.850858,6.37,4.971760e-05,26539,73728000,0.7717
2026-02-20T01:20:23.773113,3050,1.857296,6.41,4.970621e-05,26428,74956800,0.7878
2026-02-20T01:21:09.460000,3100,1.861425,6.43,4.969460e-05,26436,76185600,0.8005
2026-02-20T01:21:55.245095,3150,1.851234,6.37,4.968276e-05,26442,77414400,0.8133
2026-02-20T01:22:41.118765,3200,1.891624,6.63,4.967070e-05,26447,78643200,0.8260
2026-02-20T01:23:26.881487,3250,1.903426,6.71,4.965842e-05,26453,79872000,0.8387
2026-02-20T01:24:12.650362,3300,1.860635,6.43,4.964592e-05,26459,81100800,0.8514
2026-02-20T01:24:58.394521,3350,1.829915,6.23,4.963319e-05,26465,82329600,0.8641
2026-02-20T01:25:44.031347,3400,1.833476,6.26,4.962024e-05,26472,83558400,0.8768
2026-02-20T01:26:29.703345,3450,1.847092,6.34,4.960706e-05,26478,84787200,0.8895
2026-02-20T01:27:15.376684,3500,1.811297,6.12,4.959367e-05,26484,86016000,0.9022
2026-02-20T01:28:01.241075,3550,1.782768,5.95,4.958005e-05,26488,87244800,0.9149
2026-02-20T01:28:47.112159,3600,1.759335,5.81,4.956620e-05,26492,88473600,0.9277
2026-02-20T01:29:32.977134,3650,1.769311,5.87,4.955214e-05,26496,89702400,0.9404
2026-02-20T01:30:18.711085,3700,1.801051,6.06,4.953786e-05,26501,90931200,0.9531
2026-02-20T01:31:04.418803,3750,1.836250,6.27,4.952335e-05,26506,92160000,0.9658
2026-02-20T01:31:50.115890,3800,1.801893,6.06,4.950862e-05,26511,93388800,0.9785
2026-02-20T01:32:35.882080,3850,1.783777,5.95,4.949367e-05,26516,94617600,0.9912
2026-02-20T01:33:21.595744,3900,1.796530,6.03,4.947849e-05,26520,95846400,1.0039
2026-02-20T01:34:07.320219,3950,1.801773,6.06,4.946310e-05,26525,97075200,1.0166
2026-02-20T01:34:52.977515,4000,1.794472,6.02,4.944748e-05,26530,98304000,1.0293
2026-02-20T01:35:48.623150,4050,1.768649,5.86,4.943165e-05,26464,99532800,1.0448
2026-02-20T01:36:34.221839,4100,1.770312,5.87,4.941559e-05,26470,100761600,1.0574
2026-02-20T01:37:19.800319,4150,1.766920,5.85,4.939931e-05,26475,101990400,1.0701
2026-02-20T01:38:05.413992,4200,1.802615,6.07,4.938282e-05,26481,103219200,1.0827
2026-02-20T01:38:51.064910,4250,1.812681,6.13,4.936610e-05,26486,104448000,1.0954
2026-02-20T01:39:36.554097,4300,1.787734,5.98,4.934916e-05,26492,105676800,1.1081
2026-02-20T01:40:22.123918,4350,1.775907,5.91,4.933200e-05,26497,106905600,1.1207
2026-02-20T01:41:07.811777,4400,1.788845,5.98,4.931462e-05,26502,108134400,1.1334
